VTD1,NAME1,VTD2,NAME2
270531280,Maple Grove P-19,270531285,Maple Grove P-20
270531275,Maple Grove P-18,270531290,Maple Grove P-21
270531275,Maple Grove P-18,270531295,Maple Grove P-22
270531275,Maple Grove P-18,270531285,Maple Grove P-20
270531275,Maple Grove P-18,270531280,Maple Grove P-19
270531270,Maple Grove P-17,270531295,Maple Grove P-22
270531270,Maple Grove P-17,270531275,Maple Grove P-18
270531270,Maple Grove P-17,270531300,Maple Grove P-23
270531245,Maple Grove P-12,270531265,Maple Grove P-16
270531245,Maple Grove P-12,270531260,Maple Grove P-15
270531245,Maple Grove P-12,270531255,Maple Grove P-14
270531245,Maple Grove P-12,270531250,Maple Grove P-13
270530420,Brooklyn Park W-W P-6,270531245,Maple Grove P-12
270530315,Brooklyn Park W-C P-4,270530415,Brooklyn Park W-W P-5
270530315,Brooklyn Park W-C P-4,270530420,Brooklyn Park W-W P-6
270530300,Brooklyn Park W-C P-1,270530415,Brooklyn Park W-W P-5
270530300,Brooklyn Park W-C P-1,270530315,Brooklyn Park W-C P-4
270530300,Brooklyn Park W-C P-1,270530305,Brooklyn Park W-C P-2
270530305,Brooklyn Park W-C P-2,270530315,Brooklyn Park W-C P-4
270530305,Brooklyn Park W-C P-2,270530310,Brooklyn Park W-C P-3
270530310,Brooklyn Park W-C P-3,270530345,Brooklyn Park W-E P-1
270531300,Maple Grove P-23,270532495,Plymouth W-4 P-20
270531300,Maple Grove P-23,270532500,Plymouth W-4 P-21
270531300,Maple Grove P-23,270532405,Plymouth W-1 P-2
270531355,Medina P-1B,270532420,Plymouth W-1 P-5
270531355,Medina P-1B,270532400,Plymouth W-1 P-1
270531355,Medina P-1B,270532430,Plymouth W-1 P-7
270532455,Plymouth W-2 P-12,270532460,Plymouth W-2 P-13
270532455,Plymouth W-2 P-12,270532440,Plymouth W-2 P-9
270532460,Plymouth W-2 P-13,270532465,Plymouth W-2 P-14
270532430,Plymouth W-1 P-7,270532440,Plymouth W-2 P-9
270532430,Plymouth W-1 P-7,270532445,Plymouth W-2 P-10
270532445,Plymouth W-2 P-10,270532450,Plymouth W-2 P-11
270532445,Plymouth W-2 P-10,270532460,Plymouth W-2 P-13
270532445,Plymouth W-2 P-10,270532440,Plymouth W-2 P-9
270531150,Independence P-1,270531335,Maple Plain P-1
270531150,Independence P-1,270532370,Orono P-4
270531150,Independence P-1,270531350,Medina P-1A
270531335,Maple Plain P-1,270531350,Medina P-1A
270532370,Orono P-4,270532455,Plymouth W-2 P-12
270532370,Orono P-4,270532440,Plymouth W-2 P-9
270531170,Loretto P-1,270531350,Medina P-1A
270531350,Medina P-1A,270531355,Medina P-1B
270531350,Medina P-1A,270532440,Plymouth W-2 P-9
270531350,Medina P-1A,270532430,Plymouth W-1 P-7
270531350,Medina P-1A,270532370,Orono P-4
270532355,Orono P-1,270532370,Orono P-4
270531160,Long Lake P-1,270532370,Orono P-4
270531160,Long Lake P-1,270532355,Orono P-1
270532485,Plymouth W-3 P-18,270532490,Plymouth W-3 P-19
270532470,Plymouth W-3 P-15,270532485,Plymouth W-3 P-18
270532470,Plymouth W-3 P-15,270532475,Plymouth W-3 P-16
270532470,Plymouth W-3 P-15,270532490,Plymouth W-3 P-19
270532470,Plymouth W-3 P-15,270532505,Plymouth W-4 P-22
270532475,Plymouth W-3 P-16,270532510,Plymouth W-4 P-23
270532475,Plymouth W-3 P-16,270532520,Plymouth W-4 P-25
270532475,Plymouth W-3 P-16,270532490,Plymouth W-3 P-19
270532475,Plymouth W-3 P-16,270532480,Plymouth W-3 P-17
270532475,Plymouth W-3 P-16,270532505,Plymouth W-4 P-22
270531345,Medicine Lake P-1,270532475,Plymouth W-3 P-16
270531345,Medicine Lake P-1,270532490,Plymouth W-3 P-19
270532480,Plymouth W-3 P-17,270532520,Plymouth W-4 P-25
270532480,Plymouth W-3 P-17,270532490,Plymouth W-3 P-19
270531020,Golden Valley P-7,270532490,Plymouth W-3 P-19
270531020,Golden Valley P-7,270532290,New Hope P-1
270531020,Golden Valley P-7,270531025,Golden Valley P-8
270531020,Golden Valley P-7,270532295,New Hope P-2
270532290,New Hope P-1,270532305,New Hope P-3S
